title,rate,url
仙剑奇侠传 仙劍奇俠傳,9.6,https://img9.doubanio.com/lpic/s29225757.jpg
新仙剑奇侠传 新仙劍奇俠傳,9.1,https://img9.doubanio.com/lpic/s11096807.jpg
仙剑客栈,8.3,https://img9.doubanio.com/lpic/s24941655.jpg
仙剑奇侠传二 仙劍奇俠傳二,7.2,https://img9.doubanio.com/lpic/s28584072.jpg
